Type of House,Property Value,bed,bath,Area (Sqft),Latitude,Longitude,Number_of_Parks_Nearby,Number_of_Malls_Nearby,Number_of_Metros_Nearby,Number_of_Clubs_Nearby,Number_of_Restaurants_Nearby,Number_of_Schools_Nearby,Number_of_Colleges_Nearby,Number_of_Universities_Nearby,Number_of_Buses_Nearby,Number_of_Trains_Nearby,Number_of_Airports_Nearby,Number_of_Museums_Nearby,Number_of_Libraries_Nearby,Number_of_Grocery_stores_Nearby,borough,Zip Code,total lot size(sqft),Distance_to_Nearest_Parks_miles_binned,Distance_to_Nearest_Malls_miles_binned,Distance_to_Nearest_Metros_miles_binned,Distance_to_Nearest_Clubs_miles_binned,Distance_to_Nearest_Restaurants_miles_binned,Distance_to_Nearest_Schools_miles_binned,Distance_to_Nearest_Colleges_miles_binned,Distance_to_Nearest_Universities_miles_binned,Distance_to_Nearest_Buses_miles_binned,Distance_to_Nearest_Trains_miles_binned,Distance_to_Nearest_Airports_miles_binned,Distance_to_Nearest_Museums_miles_binned,Distance_to_Nearest_Libraries_miles_binned,Distance_to_Nearest_Grocery_stores_miles_binned,Precinct,Safety_Score
Condo for sale,6668000.0,8,10,6425.0,40.766474,-73.981266,16,3,110,30,2786,165,12,21,1524,118,1,34,26,194,Manhattan,10019,11535.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Condo for sale,649000.0,3,2.5,2431.0,40.8261303,-73.9430056,37,0,72,5,572,220,4,1,1047,78,0,14,9,101,Manhattan,10031,2431.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,30.0,75.10102633709577
Townhouse for sale,6668000.0,6,6.5+,6425.0,40.7875866,-73.96924,19,2,88,7,1933,192,9,9,1351,93,0,17,22,154,Manhattan,10024,7200.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
House for sale,6668000.0,8,16.5,6425.0,40.5950084,-74.1064343,1,0,7,1,173,16,0,1,545,7,0,4,1,22,Staten Island,10304,13780.0,1–2 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,1–2 miles,120.0,55.3387983997714
House for sale,274000.0,3,1,1556.0,40.6757464,-73.8224126,14,1,30,7,252,32,1,0,1134,42,0,0,1,52,Queens,11420,2400.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,106.0,62.766447838413015
Co-op for sale,199000.0,1,1,700.0,40.7788226,-73.9575242,18,2,100,20,2211,188,10,10,1491,106,0,22,22,185,Manhattan,10028,700.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Townhouse for sale,5800000.0,6,4,3300.0,40.7456757,-74.0009801,20,3,125,37,3176,153,14,23,1554,141,1,47,28,184,Manhattan,10011,3300.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,10.0,75.10102633709577
Townhouse for sale,575000.0,3,1,2128.0,40.6422965,-74.0075025,3,0,57,1,643,93,0,0,1029,57,0,3,3,92,Brooklyn,11220,2128.0,0–1 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,72.0,62.766447838413015
Pending,701000.0,3,3,1549.5,40.7593679,-73.9650504,15,3,122,43,3161,179,12,21,1604,128,1,36,24,220,Manhattan,10022,2200.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
House for sale,6668000.0,11,7.5+,6425.0,40.7766811,-73.9636668,13,2,99,21,2339,188,11,11,1481,106,1,27,23,186,Manhattan,10075,2500.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
