Address line 1,Address line 2,Full Address,Latitude,Longitude
217 W 57th St Unit 127/128,"Manhattan, NY 10019","217 W 57th St Unit 127/128 Manhattan, NY 10019 ",40.766474,-73.981266
764 Saint Nicholas /C2 Ave Unit C1,"New York, NY 10031","764 Saint Nicholas /C2 Ave Unit C1 New York, NY 10031 ",40.8261303,-73.9430056
34 W 89th St,"Manhattan, NY 10024","34 W 89th St Manhattan, NY 10024 ",40.7875866,-73.96924
177 Benedict Rd,"Staten Island, NY 10304","177 Benedict Rd Staten Island, NY 10304 ",40.5950084,-74.1064343
115-30 116th St,"South Ozone Park, NY 11420","115-30 116th St South Ozone Park, NY 11420 ",40.6757464,-73.8224126
103 E 84th St Unit Ph,"New York, NY 10028","103 E 84th St Unit Ph New York, NY 10028 ",40.7788226,-73.9575242
353 W 22nd St,"Manhattan, NY 10011","353 W 22nd St Manhattan, NY 10011 ",40.7456757,-74.0009801
650 51st St,"Brooklyn, NY 11220","650 51st St Brooklyn, NY 11220 ",40.6422965,-74.0075025
303 E 57th St Apt 39A,"Manhattan, NY 10022","303 E 57th St Apt 39A Manhattan, NY 10022 ",40.7593679,-73.9650504
973 Fifth Ave,"New York, NY 10075","973 Fifth Ave New York, NY 10075 ",40.7766811,-73.9636668
5 Davis Ct,"Staten Island, NY 10310","5 Davis Ct Staten Island, NY 10310 ",40.6416968,-74.1107325
86 Sunset Ave,"Staten Island, NY 10314","86 Sunset Ave Staten Island, NY 10314 ",40.600505,-74.1339418
19 Gadsen Pl Apt 2G,"Staten Island, NY 10314","19 Gadsen Pl Apt 2G Staten Island, NY 10314 ",40.59307,-74.1596718
308 E 81st St,"New York, NY 10028","308 E 81st St New York, NY 10028 ",40.7742642,-73.9536737
815 Swinton Ave,"Bronx, NY 10465","815 Swinton Ave Bronx, NY 10465 ",40.8264828,-73.8275131
653 Barlow Ave,"Staten Island, NY 10312","653 Barlow Ave Staten Island, NY 10312 ",40.5570352,-74.1703907
3520 Newkirk Ave,"Brooklyn, NY 11203","3520 Newkirk Ave Brooklyn, NY 11203 ",40.6401806,-73.9429395
