Address line 1,Address line 2,Full Address,Latitude,Longitude,Number_of_Parks_Nearby,Distance_to_Nearest_Parks_miles,Number_of_Malls_Nearby,Distance_to_Nearest_Malls_miles,Number_of_Metros_Nearby,Distance_to_Nearest_Metros_miles,Number_of_Clubs_Nearby,Distance_to_Nearest_Clubs_miles,Number_of_Restaurants_Nearby,Distance_to_Nearest_Restaurants_miles,Number_of_Schools_Nearby,Distance_to_Nearest_Schools_miles,Number_of_Colleges_Nearby,Distance_to_Nearest_Colleges_miles,Number_of_Universities_Nearby,Distance_to_Nearest_Universities_miles,Number_of_Buses_Nearby,Distance_to_Nearest_Buses_miles,Number_of_Trains_Nearby,Distance_to_Nearest_Trains_miles,Number_of_Airports_Nearby,Distance_to_Nearest_Airports_miles,Number_of_Museums_Nearby,Distance_to_Nearest_Museums_miles,Number_of_Libraries_Nearby,Distance_to_Nearest_Libraries_miles,Number_of_Grocery_stores_Nearby,Distance_to_Nearest_Grocery_stores_miles,borough
217 W 57th St Unit 127/128,"Manhattan, NY 10019","217 W 57th St Unit 127/128 Manhattan, NY 10019 ",40.766474,-73.981266,16,0.5165397709451309,3,0.1563297925694627,110,0.1301213682622953,30,0.1568532540351718,2786,0.0469541045618066,165,0.2275378491364067,12,0.1921393055186615,21,0.2678744145452829,1524,0.0328813315587589,118,0.1301213682622953,1,2.205336807206685,34,0.466477202726015,26,0.2284427365027695,194,0.1518318723349472,
764 Saint Nicholas /C2 Ave Unit C1,"New York, NY 10031","764 Saint Nicholas /C2 Ave Unit C1 New York, NY 10031 ",40.8261303,-73.9430056,37,0.0574308087656587,0,inf,72,0.1575106639131792,5,1.608253827941662,572,0.0240388203961368,220,0.1669333786645634,4,0.5230069076413131,1,0.7022470541118028,1047,0.0450492010889983,78,0.1575106639131792,0,inf,14,0.3134843013594822,9,0.3725468587600871,101,0.2352852561025057,
34 W 89th St,"Manhattan, NY 10024","34 W 89th St Manhattan, NY 10024 ",40.7875866,-73.96924,19,0.1489547272919808,2,1.5034806618809595,88,0.1536205760215855,7,1.483466604356212,1933,0.1044469115186588,192,0.0632261571129386,9,1.436297856249862,9,1.195191680791719,1351,0.0779170065227677,93,0.1536205760215855,0,inf,17,0.4583004541933788,22,0.580739950731136,154,0.1296642388517955,
177 Benedict Rd,"Staten Island, NY 10304","177 Benedict Rd Staten Island, NY 10304 ",40.5950084,-74.1064343,1,1.5154123071213244,0,inf,7,0.8040441786542666,1,2.507275650712056,173,0.5491656552192854,16,0.8755444685438601,0,inf,1,1.990789363429372,545,0.3280868775935014,7,0.8040441786542666,0,inf,4,2.1162466639704904,1,1.6162439459451725,22,1.0055621706349438,
115-30 116th St,"South Ozone Park, NY 11420","115-30 116th St South Ozone Park, NY 11420 ",40.6757464,-73.8224126,14,0.9538248208039238,1,1.8227926323693056,30,0.7268073857419223,7,0.7690885419530468,252,0.1880194338544605,32,0.2636642533516634,1,2.7379625897604662,0,inf,1134,0.1415322547761024,42,0.7268073857419223,0,inf,0,inf,1,1.6389929400116408,52,0.2169646437914073,
103 E 84th St Unit Ph,"New York, NY 10028","103 E 84th St Unit Ph New York, NY 10028 ",40.7788226,-73.9575242,18,0.9577955047109302,2,1.5096793134859998,100,0.1144239562449795,20,1.3190675635717106,2211,0.0588157765425484,188,0.0164883557423557,10,0.8762278190002182,10,0.980514518119854,1491,0.0754347796311569,106,0.1144239562449795,0,inf,22,0.1375785032613974,22,0.8033296487446325,185,0.1821741140057661,
353 W 22nd St,"Manhattan, NY 10011","353 W 22nd St Manhattan, NY 10011 ",40.7456757,-74.0009801,20,0.441659413655127,3,0.3237424560887057,125,0.1337484763229782,37,0.2666363376661688,3176,0.030591604079406,153,0.1014947549652657,14,0.4932364158371086,23,0.4358902378016092,1554,0.0390628104250733,141,0.1337484763229782,1,1.6428631399753946,47,0.3426659997271982,28,0.5375772908326613,184,0.1001776089889872,
650 51st St,"Brooklyn, NY 11220","650 51st St Brooklyn, NY 11220 ",40.6422965,-74.0075025,3,0.7003463037974015,0,inf,57,0.3929996507841219,1,2.552883086397518,643,0.0760939872007803,93,0.2444852845964223,0,inf,0,inf,1029,0.0876670343608846,57,0.3929996507841219,0,inf,3,1.4882597345151825,3,0.4017842223917439,92,0.1612445090774725,
303 E 57th St Apt 39A,"Manhattan, NY 10022","303 E 57th St Apt 39A Manhattan, NY 10022 ",40.7593679,-73.9650504,15,0.5487981752629357,3,1.121941092080063,122,0.265830200564017,43,0.4058084828855733,3161,0.0195874458112356,179,0.0751355169301095,12,0.5389751658193471,21,0.6488326044634274,1604,0.0237839586417594,128,0.265830200564017,1,1.720903845623753,36,0.387498803828859,24,0.2789119627175032,220,0.0517781696659073,
973 Fifth Ave,"New York, NY 10075","973 Fifth Ave New York, NY 10075 ",40.7766811,-73.9636668,13,0.9415067339216552,2,1.156221020480957,99,0.2896269847724807,21,1.0362018027237052,2339,0.0733601225014474,188,0.1457682402641917,11,0.6584433305062404,11,0.942581654618782,1481,0.0171887875932214,106,0.2896269847724807,1,2.90619990219272,27,0.2218439930133696,23,0.5590533352494862,186,0.309004954442183,
5 Davis Ct,"Staten Island, NY 10310","5 Davis Ct Staten Island, NY 10310 ",40.6416968,-74.1107325,1,1.841989620136151,0,inf,4,1.9099564442829744,1,1.463086412253128,119,0.298879298135755,24,0.4529372855743255,1,1.7596939600182198,1,1.7397421274124374,515,0.1858301207586376,8,1.297683615198435,0,inf,8,0.254535115737148,0,inf,16,0.896576305248257,
86 Sunset Ave,"Staten Island, NY 10314","86 Sunset Ave Staten Island, NY 10314 ",40.600505,-74.1339418,4,1.8638941184455349,0,inf,5,1.956549298347805,1,1.806105546971392,163,0.8450306012354771,17,0.3275916470386029,0,inf,1,2.673796688067129,514,0.0480217310536097,5,1.956549298347805,0,inf,4,1.0779298878217929,1,1.983018076577572,24,0.8427546470194621,
