Property Link,Type of House,Property Value,bed,bath,"
bed",Area (Sqft),Address line 1,Address line 2,Full Address,PropertyLotSizeMetastyles__StyledPropertyLotSizeMeta-rui__sc-1cz4zco-0,lot size,appreciate/depreciate
https://www.realtor.com/realestateandhomes-detail/217-W-57th-St-127128_New-York_NY_10019_M97008-06558?from=srp-list-card,Condo for sale,"$150,000,000",8,10,8,"11,535",217 W 57th St Unit 127/128,"Manhattan, NY 10019","217 W 57th St Unit 127/128 Manhattan, NY 10019",,,
https://www.realtor.com/realestateandhomes-detail/764-Saint-Nicholas-Ave-Apt-1_New-York_NY_10031_M90354-35114?from=srp-list-card,Condo for sale,"$649,000",3,2.5,3,"2,431",764 Saint Nicholas /C2 Ave Unit C1,"New York, NY 10031","764 Saint Nicholas /C2 Ave Unit C1 New York, NY 10031",,,
https://www.realtor.com/realestateandhomes-detail/34-W-89th-St_New-York_NY_10024_M91303-65365?from=srp-list-card,Townhouse for sale,"$6,999,999",6,6.5+,6,"7,200",34 W 89th St,"Manhattan, NY 10024","34 W 89th St Manhattan, NY 10024",,,
https://www.realtor.com/realestateandhomes-detail/177-Benedict-Rd_Staten-Island_NY_10304_M44079-35011?from=srp-list-card,House for sale,"$18,000,000",8,16.5,8,"33,000",177 Benedict Rd,"Staten Island, NY 10304","177 Benedict Rd Staten Island, NY 10304",acre lot,1.58,
https://www.realtor.com/realestateandhomes-detail/11530-116th-St_South-Ozone-Park_NY_11420_M34986-95875?from=srp-list-card,House for sale,"$274,000",3,1,3,"1,556",115-30 116th St,"South Ozone Park, NY 11420","115-30 116th St South Ozone Park, NY 11420",sqft lot,"2,400",
https://www.realtor.com/realestateandhomes-detail/103-E-84th-St_New-York_NY_10028_M94134-99614?from=srp-list-card,Co-op for sale,"$199,000",1,1,1,,103 E 84th St Unit Ph,"New York, NY 10028","103 E 84th St Unit Ph New York, NY 10028",,,
https://www.realtor.com/realestateandhomes-detail/353-W-22nd-St_New-York_NY_10011_M41894-19080?from=srp-list-card,Townhouse for sale,"$5,800,000",6,4,6,"3,300",353 W 22nd St,"Manhattan, NY 10011","353 W 22nd St Manhattan, NY 10011",,,$195k
https://www.realtor.com/realestateandhomes-detail/650-51st-St_Brooklyn_NY_11220_M37338-65341?from=srp-list-card,Townhouse for sale,"$575,000",3,1,3,"2,128",650 51st St,"Brooklyn, NY 11220","650 51st St Brooklyn, NY 11220",,,
https://www.realtor.com/realestateandhomes-detail/303-E-57th-St-Apt-39A_New-York_NY_10022_M90355-33038?from=srp-list-card,Pending,"$701,000",3,3,3,,303 E 57th St Apt 39A,"Manhattan, NY 10022","303 E 57th St Apt 39A Manhattan, NY 10022",,,
https://www.realtor.com/realestateandhomes-detail/973-5th-Ave_New-York_NY_10075_M40638-84641?from=srp-list-card,House for sale,"$49,900,000",11,7.5+,11,"16,000",973 Fifth Ave,"New York, NY 10075","973 Fifth Ave New York, NY 10075",sqft lot,"2,500",
https://www.realtor.com/realestateandhomes-detail/5-Davis-Ct_Staten-Island_NY_10310_M46933-77608?from=srp-list-card,House for sale,"$709,900",4,3.5,4,"1,216",5 Davis Ct,"Staten Island, NY 10310","5 Davis Ct Staten Island, NY 10310",,,$20k
https://www.realtor.com/realestateandhomes-detail/86-Sunset-Ave_Staten-Island_NY_10314_M43118-62708?from=srp-list-card,House for sale,"$829,000",4,2,4,"1,680",86 Sunset Ave,"Staten Island, NY 10314","86 Sunset Ave Staten Island, NY 10314",sqft lot,"4,800",
https://www.realtor.com/realestateandhomes-detail/19-Gadsen-Pl-Apt-2G_Staten-Island_NY_10314_M43166-68944?from=srp-list-card,Coming Soon,"$389,000",2,1,2,791,19 Gadsen Pl Apt 2G,"Staten Island, NY 10314","19 Gadsen Pl Apt 2G Staten Island, NY 10314",sqft lot,791,
https://www.realtor.com/realestateandhomes-detail/308-E-81st-St_New-York_NY_10028_M37546-85690?from=srp-list-card,Townhouse for sale,"$6,250,000",4,5.5+,4,"5,000",308 E 81st St,"New York, NY 10028","308 E 81st St New York, NY 10028",,,
https://www.realtor.com/realestateandhomes-detail/815-Swinton-Ave_Bronx_NY_10465_M44153-25774?from=srp-list-card,House for sale,"$325,000",2,1.5,2,684,815 Swinton Ave,"Bronx, NY 10465","815 Swinton Ave Bronx, NY 10465",sqft lot,"2,500",
https://www.realtor.com/realestateandhomes-detail/653-Barlow-Ave_Staten-Island_NY_10312_M47782-75020?from=srp-list-card,Contingent,"$889,999",6,3,6,"2,160",653 Barlow Ave,"Staten Island, NY 10312","653 Barlow Ave Staten Island, NY 10312",sqft lot,"3,800",
https://www.realtor.com/realestateandhomes-detail/3520-Newkirk-Ave_Brooklyn_NY_11203_M38850-95611?from=srp-list-card,House for sale,"$2,500,000",23,23,23,700,3520 Newkirk Ave,"Brooklyn, NY 11203","3520 Newkirk Ave Brooklyn, NY 11203",sqft lot,"5,250",
https://www.realtor.com/realestateandhomes-detail/136-E-79th-St-14A_New-York_NY_10075_M94446-77060?from=srp-list-card,Co-op for sale,"$16,000,000",5,5.5,5,,136 E 79th St # 14A,"New York, NY 10075","136 E 79th St # 14A New York, NY 10075",,,
https://www.realtor.com/realestateandhomes-detail/18261-Avon-Rd_Jamaica_NY_11432_M38215-68704?from=srp-list-card,House for sale,"$2,996,000",6,5,6,"3,040",182-61 Avon Rd,"Jamaica, NY 11432","182-61 Avon Rd Jamaica, NY 11432",,,
https://www.realtor.com/realestateandhomes-detail/431-Mountainview-Ave_Staten-Island_NY_10314_M40122-45233?from=srp-list-card,Multi-family home for sale,"$968,888",6,3.5,6,"2,720",431 Mountainview Ave,"Staten Island, NY 10314","431 Mountainview Ave Staten Island, NY 10314",sqft lot,"5,440",
https://www.realtor.com/realestateandhomes-detail/361-Skyline-Dr_Staten-Island_NY_10304_M45408-13622?from=srp-list-card,Townhouse for sale,"$229,999",3,1.5,3,"1,151",361K Skyline Dr Unit K,"Staten Island, NY 10304","361K Skyline Dr Unit K Staten Island, NY 10304",sqft lot,"1,340",
https://www.realtor.com/realestateandhomes-detail/8536-65th-Dr_Rego-Park_NY_11374_M38511-58565?from=srp-list-card,House for sale,"$1,400,000",3,3,3,"3,048",8536 65th Dr,"Rego Park, NY 11374","8536 65th Dr Rego Park, NY 11374",sqft lot,"5,548",
https://www.realtor.com/realestateandhomes-detail/17015-84th-Dr_Jamaica_NY_11432_M45026-11323?from=srp-list-card,House for sale,"$2,300,000",12,4.5+,12,"3,800",170-15 84th Dr,"Jamaica, NY 11432","170-15 84th Dr Jamaica, NY 11432",,,
https://www.realtor.com/realestateandhomes-detail/4810-45th-St-Apt-3B_Woodside_NY_11377_M94695-01847?from=srp-list-card,Co-op for sale,"$365,000",1,1,1,700,48-10 45th St Unit 3B,"Woodside, NY 11377","48-10 45th St Unit 3B Woodside, NY 11377",,,
https://www.realtor.com/realestateandhomes-detail/9-Inwood-Rd_Staten-Island_NY_10301_M41586-49823?from=srp-list-card,House for sale,"$1,649,000",3,2.5,3,"2,400",9 Inwood Rd,"Staten Island, NY 10301","9 Inwood Rd Staten Island, NY 10301",sqft lot,"5,000",
https://www.realtor.com/realestateandhomes-detail/563-Park-Ave-5-6W_New-York_NY_10065_M91234-10786?from=srp-list-card,Co-op for sale,"$8,950,000",3,3.5,3,,563 Park Ave # 5 & 6W,"New York, NY 10065","563 Park Ave # 5 & 6W New York, NY 10065",,,
https://www.realtor.com/realestateandhomes-detail/536-Georgia-Ave_Brooklyn_NY_11207_M94025-29333?from=srp-list-card,House for sale,"$150,000",5,2,5,"2,040",536 Georgia Ave,"Brooklyn, NY 11207","536 Georgia Ave Brooklyn, NY 11207",sqft lot,"2,614",
https://www.realtor.com/realestateandhomes-detail/3442-87th-St_Jackson-Heights_NY_11372_M44468-20845?from=srp-list-card,House for sale,"$1,898,888",4,3,4,"2,485",34-42 87th St,"Jackson Heights, NY 11372","34-42 87th St Jackson Heights, NY 11372",sqft lot,"4,000",
https://www.realtor.com/realestateandhomes-detail/16019-88th-St_Howard-Beach_NY_11414_M44699-74581?from=srp-list-card,House for sale,"$969,000",3,2.5,3,"2,169",160-19 88th St,"Howard Beach, NY 11414","160-19 88th St Howard Beach, NY 11414",,,
https://www.realtor.com/realestateandhomes-detail/1958-Colden-Ave_Bronx_NY_10462_M46279-71538?from=srp-list-card,House for sale,"$750,000",3,2.5,3,"1,440",1958 Colden Ave,"Bronx, NY 10462","1958 Colden Ave Bronx, NY 10462",sqft lot,"1,942",
https://www.realtor.com/realestateandhomes-detail/11125-147th-St_Jamaica_NY_11435_M32337-33707?from=srp-list-card,House for sale,"$729,000",3,3,3,868,11125 147th St,"Jamaica, NY 11435","11125 147th St Jamaica, NY 11435",sqft lot,"2,000",
https://www.realtor.com/realestateandhomes-detail/6121-160th-St_Fresh-Meadows_NY_11365_M35516-74227?from=srp-list-card,House for sale,"$959,000",4,3.5,4,"1,500",6121 160th St,"Fresh Meadows, NY 11365","6121 160th St Fresh Meadows, NY 11365",sqft lot,"3,000",
https://www.realtor.com/realestateandhomes-detail/7564-184th-St_Fresh-Meadows_NY_11366_M31013-78471?from=srp-list-card,House for sale,"$1,288,000",4,2.5,4,"1,700",7564 184th St,"Fresh Meadows, NY 11366","7564 184th St Fresh Meadows, NY 11366",sqft lot,"4,000",
https://www.realtor.com/realestateandhomes-detail/280-Crown-Ave_Staten-Island_NY_10312_M48760-86747?from=srp-list-card,House for sale,"$799,999",4,2,4,"1,800",280 Crown Ave,"Staten Island, NY 10312","280 Crown Ave Staten Island, NY 10312",sqft lot,"6,000",
https://www.realtor.com/realestateandhomes-detail/6923-Alderton-St_Rego-Park_NY_11374_M32307-19111?from=srp-list-card,House for sale,"$800,000",3,1,3,"1,312",69-23 Alderton St,"Rego Park, NY 11374","69-23 Alderton St Rego Park, NY 11374",,,
https://www.realtor.com/realestateandhomes-detail/120-E-80th-St-Unit-Parlor_New-York_NY_10075_M94621-63652?from=srp-list-card,Co-op for sale,"$2,900,000",2,2,2,"15,317",120 E 80th St Unit Parlor,"New York, NY 10075","120 E 80th St Unit Parlor New York, NY 10075",sqft lot,"3,745",
https://www.realtor.com/realestateandhomes-detail/27110-Grand-Central-Pkwy-Apt-30V_Floral-Park_NY_11005_M47944-53299?from=srp-list-card,Co-op for sale,"$785,000",3,3.5,3,"2,000",27110 Grand Central Pkwy Apt 30V,"Floral Park, NY 11005","27110 Grand Central Pkwy Apt 30V Floral Park, NY 11005",,,
https://www.realtor.com/realestateandhomes-detail/360-W-123rd-St_New-York_NY_10027_M92715-07734?from=srp-list-card,Townhouse for sale,"$4,495,000",6,7.5,6,,360 W 123rd St,"Manhattan, NY 10027","360 W 123rd St Manhattan, NY 10027",sqft lot,"1,615",
https://www.realtor.com/realestateandhomes-detail/519-Eltingville-Blvd_Staten-Island_NY_10312_M33011-16219?from=srp-list-card,House for sale,"$788,000",3,2.5,3,"2,000",519 Eltingville Blvd,"Staten Island, NY 10312","519 Eltingville Blvd Staten Island, NY 10312",sqft lot,"2,755",
https://www.realtor.com/realestateandhomes-detail/169-Brighton-St_Staten-Island_NY_10307_M39228-65056?from=srp-list-card,House for sale,"$699,999",3,2,3,968,169 Brighton St,"Staten Island, NY 10307","169 Brighton St Staten Island, NY 10307",sqft lot,"5,000",
https://www.realtor.com/realestateandhomes-detail/15824-81st-St_Howard-Beach_NY_11414_M46557-32006?from=srp-list-card,House for sale,"$829,900",3,2,3,"1,200",158-24 81st St,"Howard Beach, NY 11414","158-24 81st St Howard Beach, NY 11414",sqft lot,"4,387",
https://www.realtor.com/realestateandhomes-detail/9430-59th-Ave-Apt-4H_Elmhurst_NY_11373_M39100-23681?from=srp-list-card,Co-op for sale,"$550,000",3,1.5,3,"1,300",94-30 59 Ave Unit 4H,"Elmhurst, NY 11373","94-30 59 Ave Unit 4H Elmhurst, NY 11373",,,
https://www.realtor.com/realestateandhomes-detail/250-Mercer-St-Apt-B907_New-York_NY_10012_M91225-68922?from=srp-list-card,Co-op for sale,"$699,000",Studio,1,1,,250 Mercer St Apt B907,"New York, NY 10012","250 Mercer St Apt B907 New York, NY 10012",acre lot,0.96,
https://www.realtor.com/realestateandhomes-detail/186-Fisher-Ave_Staten-Island_NY_10307_M34067-62017?from=srp-list-card,House for sale,"$469,000",2,1,2,"1,365",186 Fisher Ave,"Staten Island, NY 10307","186 Fisher Ave Staten Island, NY 10307",sqft lot,"3,500",
https://www.realtor.com/realestateandhomes-detail/160-Woods-of-Arden-Rd_Staten-Island_NY_10312_M47611-15016?from=srp-list-card,House for sale,"$739,000",3,2,3,"1,196",160 Woods of Arden Rd,"Staten Island, NY 10312","160 Woods of Arden Rd Staten Island, NY 10312",sqft lot,"4,000",
https://www.realtor.com/realestateandhomes-detail/150-Central-Park-S-609610_New-York_NY_10019_M91550-43128?from=srp-list-card,Co-op for sale,"$1,400,000",2,2,2,,150 Central Park S # 609/610,"New York, NY 10019","150 Central Park S # 609/610 New York, NY 10019",acre lot,0.32,
https://www.realtor.com/realestateandhomes-detail/18-W-70th-St-Apt-9H_New-York_NY_10023_M90348-12359?from=srp-list-card,Co-op for sale,"$1,250,000",1,1.5,1,,18 W 70th St Apt 9H,"New York, NY 10023","18 W 70th St Apt 9H New York, NY 10023",,,
https://www.realtor.com/realestateandhomes-detail/15115-84th-St-Apt-6M_Howard-Beach_NY_11414_M49060-18299?from=srp-list-card,Condo for sale,"$409,888",3,2,3,950,151-15 84th St Unit 6M,"Howard Beach, NY 11414","151-15 84th St Unit 6M Howard Beach, NY 11414",acre lot,2.44,
https://www.realtor.com/realestateandhomes-detail/4242-Colden-St-Apt-B23_Flushing_NY_11355_M49244-86676?from=srp-list-card,Co-op for sale,"$659,000",2,1,2,"1,200",42-42 Colden St Unit B23,"Flushing, NY 11355","42-42 Colden St Unit B23 Flushing, NY 11355",,,
https://www.realtor.com/realestateandhomes-detail/8629-155th-Ave-Apt-3J_Howard-Beach_NY_11414_M42085-85328?from=srp-list-card,Co-op for sale,"$189,900",1,1,1,650,86-29 155th Ave Unit 3J,"Howard Beach, NY 11414","86-29 155th Ave Unit 3J Howard Beach, NY 11414",,,
https://www.realtor.com/realestateandhomes-detail/148-City-Island-Ave_Bronx_NY_10464_M92228-48923?from=srp-list-card,Co-op for sale,"$55,000",Studio,1,1,800,148 City Island Ave Unit E12,"Bronx, NY 10464","148 City Island Ave Unit E12 Bronx, NY 10464",acre lot,2.99,
https://www.realtor.com/realestateandhomes-detail/160-E-38th-St-Apt-18C_New-York_NY_10016_M93155-54105?from=srp-list-card,Co-op for sale,"$795,000",1,1,1,,160 E 38th St Apt 18C,"New York, NY 10016","160 E 38th St Apt 18C New York, NY 10016",acre lot,0.61,
https://www.realtor.com/realestateandhomes-detail/200-E-16th-St-Apt-2D_New-York_NY_10003_M91061-48653?from=srp-list-card,Co-op for sale,"$799,000",1,1,1,,200 E 16th St Apt 2D,"Manhattan, NY 10003","200 E 16th St Apt 2D Manhattan, NY 10003",,,
https://www.realtor.com/realestateandhomes-detail/160-E-38th-St-Apt-7G_New-York_NY_10016_M97404-75172?from=srp-list-card,Co-op for sale,"$750,000",1,1,1,,160 E 38th St Apt 7G,"New York, NY 10016","160 E 38th St Apt 7G New York, NY 10016",acre lot,0.61,
https://www.realtor.com/realestateandhomes-detail/308-W-103rd-St-Apt-2G_New-York_NY_10025_M48443-09015?from=srp-list-card,Co-op for sale,"$535,000",1,1,1,,308 W 103rd St Apt 2G,"Manhattan, NY 10025","308 W 103rd St Apt 2G Manhattan, NY 10025",,,
https://www.realtor.com/realestateandhomes-detail/2315-Healy-Ave_Far-Rockaway_NY_11691_M34942-61227?from=srp-list-card,Multi-family home for sale,"$735,000",6,4,6,"2,669",2315 Healy Ave,"Far Rockaway, NY 11691","2315 Healy Ave Far Rockaway, NY 11691",sqft lot,"2,663",
https://www.realtor.com/realestateandhomes-detail/1-Central-Park-S-506_New-York_NY_10019_M47440-94261?from=srp-list-card,Condo for sale,"$6,550,000",2,2,2,"1,676",1 Central Park S # 506,"New York, NY 10019","1 Central Park S # 506 New York, NY 10019",,,
https://www.realtor.com/realestateandhomes-detail/3224-Fulton-St_Brooklyn_NY_11208_M45080-11583?from=srp-list-card,Multi-family home for sale,"$1,100,000",9,3,9,"3,120",3224 Fulton St,"Brooklyn, NY 11208","3224 Fulton St Brooklyn, NY 11208",sqft lot,"2,452",
https://www.realtor.com/realestateandhomes-detail/45-E-66th-St-Apt-5W_New-York_NY_10065_M43744-53717?from=srp-list-card,Co-op for sale,"$5,500,000",3,3,3,,45 E 66th St Apt 5W,"Manhattan, NY 10065","45 E 66th St Apt 5W Manhattan, NY 10065",acre lot,0.23,
https://www.realtor.com/realestateandhomes-detail/3850-Hudson-Manor-Ter-Apt-6BE_Bronx_NY_10463_M42604-60957?from=srp-list-card,Co-op for sale,"$399,900",2,2,2,"1,250",3850 Hudson Manor Ter Apt 6BE,"Bronx, NY 10463","3850 Hudson Manor Ter Apt 6BE Bronx, NY 10463",,,
https://www.realtor.com/realestateandhomes-detail/1-Rose-St_Brooklyn_NY_11236_M39049-91772?from=srp-list-card,Multi-family home for sale,"$849,000",7,3,7,"2,820",1 Rose St,"Brooklyn, NY 11236","1 Rose St Brooklyn, NY 11236",sqft lot,"1,292",
https://www.realtor.com/realestateandhomes-detail/435-Sycamore-St_Staten-Island_NY_10312_M36752-40388?from=srp-list-card,Contingent,"$699,000",3,2.5,3,"1,032",435 Sycamore St,"Staten Island, NY 10312","435 Sycamore St Staten Island, NY 10312",sqft lot,"4,000",
https://www.realtor.com/realestateandhomes-detail/170-Detroit-Ave_Staten-Island_NY_10312_M49206-76410?from=srp-list-card,Multi-family home for sale,"$816,000",4,2.5,4,"2,194",170 Detroit Ave,"Staten Island, NY 10312","170 Detroit Ave Staten Island, NY 10312",sqft lot,"4,000",
