Address line 1,Address line 2,Full Address,Latitude,Longitude,Number_of_Parks_Nearby,Distance_to_Nearest_Parks_miles,Number_of_Malls_Nearby,Distance_to_Nearest_Malls_miles,Number_of_Metros_Nearby,Distance_to_Nearest_Metros_miles,Number_of_Clubs_Nearby,Distance_to_Nearest_Clubs_miles,Number_of_Restaurants_Nearby,Distance_to_Nearest_Restaurants_miles,Number_of_Schools_Nearby,Distance_to_Nearest_Schools_miles,Number_of_Colleges_Nearby,Distance_to_Nearest_Colleges_miles,Number_of_Universities_Nearby,Distance_to_Nearest_Universities_miles,Number_of_Buses_Nearby,Distance_to_Nearest_Buses_miles,Number_of_Trains_Nearby,Distance_to_Nearest_Trains_miles,Number_of_Airports_Nearby,Distance_to_Nearest_Airports_miles,Number_of_Museums_Nearby,Distance_to_Nearest_Museums_miles,Number_of_Libraries_Nearby,Distance_to_Nearest_Libraries_miles,Number_of_Grocery_stores_Nearby,Distance_to_Nearest_Grocery_stores_miles,borough
764 Saint Nicholas /C2 Ave Unit C1,"New York, NY 10031","764 Saint Nicholas /C2 Ave Unit C1 New York, NY 10031 ",40.8261303,-73.9430056,37,0.0574308087656587,0,inf,72,0.1575106639131792,5,1.608253827941662,572,0.0240388203961368,220,0.1669333786645634,4,0.5230069076413131,1,0.7022470541118028,1047,0.0450492010889983,78,0.1575106639131792,0,inf,14,0.3134843013594822,9,0.3725468587600871,101,0.2352852561025057,Not Found
115-30 116th St,"South Ozone Park, NY 11420","115-30 116th St South Ozone Park, NY 11420 ",40.6757464,-73.8224126,14,0.9538248208039238,1,1.8227926323693056,30,0.7268073857419223,7,0.7690885419530468,252,0.1880194338544605,32,0.2636642533516634,1,2.7379625897604662,0,inf,1134,0.1415322547761024,42,0.7268073857419223,0,inf,0,inf,1,1.6389929400116408,52,0.2169646437914073,Not Found
103 E 84th St Unit Ph,"New York, NY 10028","103 E 84th St Unit Ph New York, NY 10028 ",40.7788226,-73.9575242,18,0.9577955047109302,2,1.5096793134859998,100,0.1144239562449795,20,1.3190675635717106,2211,0.0588157765425484,188,0.0164883557423557,10,0.8762278190002182,10,0.980514518119854,1491,0.0754347796311569,106,0.1144239562449795,0,inf,22,0.1375785032613974,22,0.8033296487446325,185,0.1821741140057661,Not Found
973 Fifth Ave,"New York, NY 10075","973 Fifth Ave New York, NY 10075 ",40.7766811,-73.9636668,13,0.9415067339216552,2,1.156221020480957,99,0.2896269847724807,21,1.0362018027237052,2339,0.0733601225014474,188,0.1457682402641917,11,0.6584433305062404,11,0.942581654618782,1481,0.0171887875932214,106,0.2896269847724807,1,2.90619990219272,27,0.2218439930133696,23,0.5590533352494862,186,0.309004954442183,Not Found
308 E 81st St,"New York, NY 10028","308 E 81st St New York, NY 10028 ",40.7742642,-73.9536737,19,1.0812216631045486,2,1.5820780946818949,104,0.2691122006379529,25,1.215550197827403,2344,0.0229366343352649,187,0.0739721704582714,10,0.7345591842731525,11,0.6595565049179314,1559,0.05978572831227,110,0.2691122006379529,1,2.8811671901042906,24,0.4968083949639615,21,0.7072181231191527,195,0.0999796690152094,Not Found
136 E 79th St # 14A,"New York, NY 10075","136 E 79th St # 14A New York, NY 10075 ",40.7748738,-73.9593405,15,1.1414327902108063,2,1.3106316979996302,102,0.0882908864317129,22,1.0412623565361925,2380,0.0267060160031094,184,0.0494131987235558,11,0.5885425393743263,11,0.7360380852381063,1531,0.020560287263369,108,0.0882908864317129,1,2.831670899486362,25,0.2622817232449604,22,0.5210751090879835,194,0.1343081651536737,Not Found
182-61 Avon Rd,"Jamaica, NY 11432","182-61 Avon Rd Jamaica, NY 11432 ",40.7215637,-73.7822716,22,0.602816444982642,0,inf,11,0.6206679868514062,2,2.153440351232596,338,0.453385945193096,34,0.2768886812082133,1,2.613073947666777,0,inf,1420,0.2596215929646112,22,0.6206679868514062,0,inf,1,2.0851008623842104,3,1.6367109919663116,79,0.4798688994883363,Not Found
8536 65th Dr,"Rego Park, NY 11374","8536 65th Dr Rego Park, NY 11374 ",40.7194242,-73.8627219,12,1.8065354240850493,1,2.9923597573957688,48,0.7114818875454942,13,1.1437960383558097,817,0.3159962441516736,71,0.1738493421377059,1,1.681940125514223,0,inf,1475,0.1003898691385825,52,0.7114818875454942,0,inf,2,2.674893982155744,3,1.05811714829387,132,0.3371806771404016,Not Found
170-15 84th Dr,"Jamaica, NY 11432","170-15 84th Dr Jamaica, NY 11432 ",40.7152952,-73.7939094,20,0.4579122309176345,0,inf,16,0.3333355820506367,7,1.4055847252156906,407,0.291478346515135,38,0.3252677034533062,1,1.9610256776232209,0,inf,1533,0.0730557986783579,23,0.3333355820506367,0,inf,1,1.8898665356845263,2,1.4545101453893754,89,0.285403237010514,Not Found
48-10 45th St Unit 3B,"Woodside, NY 11377","48-10 45th St Unit 3B Woodside, NY 11377 ",40.7394199,-73.92039,5,2.1698669603491325,0,inf,70,0.2788080498057026,36,0.5681574015220997,1745,0.0116641008086424,105,0.1936624105298773,3,1.7206858878427311,2,2.517373621656987,1632,0.0289640132139164,73,0.2788080498057026,1,2.771766450327402,8,1.1729786935385584,9,0.7816944353966949,197,0.1456728881363601,Not Found
